__time,/eta_hat/lat,/eta_hat/lon,/eta_hat/phi,/eta_hat/psi,/eta_hat/theta,/eta_hat/z,/eta_setpoint/lat,/eta_setpoint/lon,/eta_setpoint/phi,/eta_setpoint/psi,/eta_setpoint/theta,/eta_setpoint/z,/nu_hat/p,/nu_hat/q,/nu_hat/r,/nu_hat/u,/nu_hat/v,/nu_hat/w,/nu_setpoint/p,/nu_setpoint/q,/nu_setpoint/r,/nu_setpoint/u,/nu_setpoint/v,/nu_setpoint/w,/thruster_1_feedback/active,/thruster_1_feedback/azimuth_deg,/thruster_1_feedback/error,/thruster_1_feedback/pitch,/thruster_1_feedback/rps,/thruster_1_feedback/thruster_id,/thruster_1_setpoints/active,/thruster_1_setpoints/azimuth_deg,/thruster_1_setpoints/error,/thruster_1_setpoints/pitch,/thruster_1_setpoints/rps,/thruster_1_setpoints/thruster_id,/thruster_2_feedback/active,/thruster_2_feedback/azimuth_deg,/thruster_2_feedback/error,/thruster_2_feedback/pitch,/thruster_2_feedback/rps,/thruster_2_feedback/thruster_id,/thruster_2_setpoints/active,/thruster_2_setpoints/azimuth_deg,/thruster_2_setpoints/error,/thruster_2_setpoints/pitch,/thruster_2_setpoints/rps,/thruster_2_setpoints/thruster_id
1732792747.168778,,,,,,,,,,,,,0.000000000,0.000000000,-0.060995039,0.204011485,0.123927392,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732792747.168804,62.469944000,6.239815712,0.025992472,-2.196092367,0.000000000,0.031710815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732792747.254826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.000000000,0.000000000,0.000000000,0.000000000,1.583333333,2.000000000,,,,,,
1732792747.254868,,,,,,,,,,,,,,,,,,,,,,,,,1.000000000,0.000000000,0.000000000,0.000000000,1.200000000,1.000000000,,,,,,,,,,,,,,,,,,
1732792747.254890,,,,,,,,,,,,,,,,,,,0.000000000,0.000000000,0.000000000,0.051444400,0.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,
1732792747.254908,,,,,,,0.000000000,0.000000000,0.000000000,-2.460914135,0.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732792747.262521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.000000000,0.000000000,0.000000000,0.000000000,2.317716713,1.000000000,,,,,,,,,,,,
1732792747.262815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.000000000,0.000000000,0.000000000,0.000000000,1.923977879,2.000000000
1732792747.268654,,,,,,,,,,,,,0.000000000,0.000000000,-0.060276758,0.205693707,0.123974763,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732792747.268713,62.469944000,6.239815235,0.000000000,-2.202120066,0.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732792747.350533,,,,,,,0.000000000,0.000000000,0.000000000,-2.460914135,0.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732792747.350729,,,,,,,,,,,,,,,,,,,0.000000000,0.000000000,0.000000000,0.051444400,0.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,
1732792747.354975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.000000000,0.000000000,0.000000000,0.000000000,1.583333333,2.000000000,,,,,,
1732792747.355042,,,,,,,,,,,,,,,,,,,,,,,,,1.000000000,0.000000000,0.000000000,0.000000000,1.200000000,1.000000000,,,,,,,,,,,,,,,,,,
1732792747.364314,62.469944000,6.239814758,0.028870910,-2.205163717,0.000000000,0.035222512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732792747.364470,,,,,,,,,,,,,0.000000000,0.000000000,-0.059309412,0.235562205,0.124016441,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732792747.369351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.000000000,0.000000000,0.000000000,0.000000000,6.098860928,1.000000000,,,,,,,,,,,,
1732792747.369413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.000000000,0.000000000,0.000000000,0.000000000,5.925649458,2.000000000
1732792747.450915,,,,,,,,,,,,,,,,,,,,,,,,,1.000000000,0.000000000,0.000000000,0.000000000,1.978333333,1.000000000,,,,,,,,,,,,,,,,,,
1732792747.451054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.000000000,0.000000000,0.000000000,0.000000000,1.690000000,2.000000000,,,,,,
